Datum,Produkt,Kategorie,Menge,Preis,Umsatz,Monat
2024-04-02,Laptop,Computer,1,999.0,999.0,4
2024-01-07,Maus,Computer,3,6.767,20.301,1
2024-01-12,Tastatur,Zubeheor,2,500.0,1000.0,1
2024-01-20,Monitor,Computer,1,349.0,349.0,1
2024-02-03,Headset,Audio,2,89.0,178.0,2
2024-02-14,Laptop,Computer,1,999.0,999.0,2
2024-02-18,Maus,Zuboer,5,29.0,145.0,2
2024-03-01,Tastatur,Zubehoer,1,59.0,59.0,3
2024-03-10,Monitor,Computer,2,349.0,698.0,3
2024-03-22,Headset,Audio,3,89.0,267.0,3
2024-04-05,Laptop,Computer,2,999.0,1998.0,4
2024-04-09,Maus,Zubehoer,4,29.0,116.0,4
2024-04-17,Tastatur,Zubehoer,3,59.0,177.0,4
2024-05-01,Monitor,Computer,1,349.0,349.0,5
2024-05-14,Headset,Audio,1,89.0,89.0,5
2024-05-20,Laptop,Computer,1,999.0,999.0,5
2024-06-03,Maus,Zubehoer,2,29.0,58.0,6
2024-06-15,Tastatur,Zubehoer,4,59.0,236.0,6
2024-06-28,Monitor,Computer,1,349.0,349.0,6
2024-07-10,Headset,Audio,2,89.0,178.0,7
